,num,lat,lon
0,1049.0,35.2143514,-80.8319329
1,6.0,35.1420067,-80.5469564
2,2424.0,34.9390831,-80.750958
3,8847.0,35.236296,-80.644997
4,266.0,35.251292,-80.505725
5,299.0,35.171854,-81.107649
6,4907.0,35.283162,-80.6691759
7,6777.0,35.247079,-80.577136
8,7095.0,35.357862,-81.095529
9,446.0,35.0011763,-80.6959945
10,624.0,35.3889013,-80.5013492
11,831.0,34.943609,-80.787277
12,839.0,34.9319888,-80.6915528
13,904.0,35.385772,-80.945838
14,7762.0,35.0874421,-80.5968943
15,2185.0,35.28536,-81.243396
16,2309.0,35.329852,-81.134431
17,2637.0,35.408819,-81.012656
18,3028.0,35.1324789,-80.58297
19,3174.0,34.99662,-80.5596
20,3209.0,34.904865,-80.689871
21,3465.0,34.8650669,-80.6933461
22,3690.0,34.99680626,-81.03838348
23,3710.0,34.8429157,-80.6857366
24,9323.0,35.443996,-80.9929159
25,4280.0,35.284452,-80.459699
26,4845.0,35.1676604,-81.056866
27,5642.0,35.2708474,-80.5763396
28,6018.0,35.348806,-80.500162
29,6326.0,35.4810953,-80.481933
30,6388.0,35.300847,-80.60159
31,6939.0,35.18702155,-81.27425062
32,7115.0,35.4503032,-80.5463816
33,7145.0,35.202726,-80.974971
34,7265.0,35.4946239,-80.7234776
35,8092.0,35.1869829,-81.1495945
36,8338.0,35.4005433,-80.5262147
37,8755.0,35.380197,-81.2296753
38,8798.0,35.2010926,-81.0423429
39,9191.0,35.0913918,-81.1019229
40,9354.0,35.3301866,-81.0202533
41,10478.0,35.4413888,-80.7327344
